tweets,label
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,-1
talk all the nonsense and continue all the drama will vote for modi. ,1
what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,1
asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,1
answer who among these the most powerful world leader today trump putin modi may ,1
kiya tho refresh maarkefir comment karo ,-1
surat women perform yagna seeks divine grace for narendra modi become again,1
this comes from cabinet which has scholars like modi smriti and hema time introspect,-1
with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,1
gandhi was gay does modi  ,1
things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,1
hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,1
calm waters wheres the modi wave ,1
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign ,1
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,1
vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party ,-1
vote modi who has not created jobs,-1
through our vote ensure govt need and deserve anupam kher responds modis appeal for the 2019 elections ,1
dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any,1
didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,-1
was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,1
with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today ,-1
crush jaws those who shoutmodimodi says jds mla this inciting murder,-1
sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,-1
thiugh nehru not alive but still alive heart modi for every failure nehru responsible ,-1
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india,1
has already taken notice and ordered probe now time for modi take notice muslim family being harassed beaten recently extremist hindus and was suggested leave india move pakistan,-1
was waiting for this modi will also talk about varanasi,-1
according yogi imran masood kin azhar masood according this logic nirav modi lalit modi and narendra modi are brothers from the same mother,-1
agree but only during the tenure modiganga rejuvenation works have started working,-1
the three codes modi cracked give india huge foreign policy jumpstart via ,1
through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections ,1
modi govts slashing indias education budget clear indicator that they dont care for indias future congress president shri the other hand has ensured the increase the budget gdp this the future india deserves ,-1
being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,1
how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet ,-1
only modi ,1
check out latest article premier archery league via ,1
india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,1
people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote ,-1
modi for eternal what wrong dear sirji perfectly fine with indian people,-1
impressive godrej tata complimenting our hoping gets second term ,1
our maid saying this rahul keeps saying modi kalla yet goes and hugs him and winks magand idu bekagittu,-1
please vote for modi congress trying divide india,-1
yes good job highly insensitivearrogant incompetent ploar needs defeated any costnobody knows why made such arrogant person minister gave tickethe out touch with grounddespite 3months upsc protests nvr met ,1
before 2014 hindustan has seen the worst for hindus own maj hindu rashtra who thrashed the rascal faces these anti indian politiciansantinationals urban naxals wait watch after modis win pakistan mein bhi hindu hona garv baat hogi✌,1
higher voting turnout directly proportional bjp victory wonder modi has launched campaigns like dont sit home ensure everyone your friends family relatives votes its now never for ,1
"modi govt has done remarkable job making corruption free india ultimate success shall achieved when corrupt are jailed modi govts vision corruptionfree india ensuring that all those who looted the country are now facing the law
via namo app",1
use this beg for campaign ,-1
with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well,1
